Category,Link
kidnapping,https://nigeriacrime.com/alleged-kidnap-of-3-students-in-ogun-is-fake-police/
kidnapping,https://nigeriacrime.com/adamawa-police-arrest-7-kidnappers/
kidnapping,https://nigeriacrime.com/benue-ex-education-secretary-abducted/
kidnapping,https://nigeriacrime.com/police-recover-ammunition-neutralise-4-suspected-kidnappers-in-delta/
kidnapping,https://nigeriacrime.com/6-kidnapped-women-girls-rescued-as-police-arrest-4-suspects/
kidnapping,https://nigeriacrime.com/yobe-notorious-kidnap-kingpin-nabbed/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/kidnapped-female-poly-student-regains-freedom/
kidnapping,https://nigeriacrime.com/nasarawa-gunmen-free-abducted-poly-student-after-paying-ransom/
kidnapping,https://nigeriacrime.com/kwara-gunmen-abduct-two-persons/
kidnapping,https://nigeriacrime.com/benue-state-commissioner-for-information-abducted-by-gunmen/
kidnapping,https://nigeriacrime.com/nine-zamfara-university-construction-workers-abducted/
kidnapping,https://nigeriacrime.com/pastor-daughter-one-other-kidnapped-in-calabar/
kidnapping,https://nigeriacrime.com/60-year-old-poultry-farmer-kidnapped-in-kwara/
kidnapping,https://nigeriacrime.com/mnjtf-troops-rescue-10-kidnapped-hostages-in-borno/
kidnapping,https://nigeriacrime.com/woman-3-children-kidnapped-in-kaduna-community/
kidnapping,https://nigeriacrime.com/passengers-abducted-on-otukpo-enugu-expressway/
kidnapping,https://nigeriacrime.com/how-fake-soldiers-almost-kidnapped-me-abuja-man/
kidnapping,https://nigeriacrime.com/bauchi-police-officer-kidnapped/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/kidnappers-demand-n20-million-ransom-to-release-p-harcourt-based-poet/
kidnapping,https://nigeriacrime.com/plateau-pastor-two-others-kidnapped/
kidnapping,https://nigeriacrime.com/4-kidnapped-victims-rescued-as-police-arrest-2-suspected-armed-robbers/
kidnapping,https://nigeriacrime.com/armed-men-attack-abduct-10-passengers-in-makurdi/
kidnapping,https://nigeriacrime.com/kano-trader-in-court-for-threatening-to-kidnap-brothers-son/
kidnapping,https://nigeriacrime.com/2-kidnappers-killed-8-policemen-arrested-for-extortion-in-rivers/
kidnapping,https://nigeriacrime.com/negligence-fathers-of-eight-kidnapped-corps-members-acuused-nysc-security-agencies/
kidnapping,https://nigeriacrime.com/kidnappers-abduct-two-teenagers-in-lagos-dump-victims-same-day-in-ogun/
kidnapping,https://nigeriacrime.com/16-rescued-from-bauchi-kidnappers-den/
kidnapping,https://nigeriacrime.com/kidnappers-withhold-victims-after-ransom-payment/
kidnapping,https://nigeriacrime.com/one-victim-rescued-two-kidnappers-killed-in-a-gun-duel-with-police/
kidnapping,https://nigeriacrime.com/two-arrested-as-yobe-police-smash-kidnapping-ring/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/25-hostages-rescued-from-boko-haram-captivity-in-borno/
kidnapping,https://nigeriacrime.com/2-siblings-kidnapped-as-bandits-attack-kaduna-community/
kidnapping,https://nigeriacrime.com/65-year-old-victim-rescued-as-police-recover-94-cows-2-motorcycles-in-katsina/
kidnapping,https://nigeriacrime.com/benue-doctor-regains-freedom-after-33-days-in-captivity/
kidnapping,https://nigeriacrime.com/kidnappers-release-victim-abduct-ransom-remitter/
kidnapping,https://nigeriacrime.com/benue-doctors-down-tools-over-abduction-of-colleague/
kidnapping,https://nigeriacrime.com/couple-steals-neighbours-two-year-old-son-arrested/
kidnapping,https://nigeriacrime.com/lagos-man-in-court-for-allegedly-abducting-air-force-officer/
kidnapping,https://nigeriacrime.com/i-took-to-kidnapping-to-survive-suspects-reveals/
kidnapping,https://nigeriacrime.com/2-suspected-kidnappers-neutralised-as-police-rescue-9-victims/
kidnapping,https://nigeriacrime.com/rccg-senior-pastors-wife-abducted-in-kwara/
kidnapping,https://nigeriacrime.com/sokoto-man-kidnapped-by-gunmen/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/two-men-set-friend-up-for-abduction/
kidnapping,https://nigeriacrime.com/delta-community-youth-leader-abducted/
kidnapping,https://nigeriacrime.com/self-kidnapped-victim-5-others-nabbed-for-armed-robbery-kidnapping/
kidnapping,https://nigeriacrime.com/zamfara-former-provost-son-rescued-by-military/
kidnapping,https://nigeriacrime.com/corpse-of-kidnapped-74-year-old-retired-principal-discovered-in-shallow-grave/
kidnapping,https://nigeriacrime.com/attempted-kidnap-ex-convict-arrested-in-osun/
kidnapping,https://nigeriacrime.com/nasarawa-gunmen-abduct-traditional-ruler-wife/
kidnapping,https://nigeriacrime.com/kidnapped-university-students-rescued-in-katsina/
kidnapping,https://nigeriacrime.com/farmers-rescued-as-troops-recover-weapons-military-uniforms/
kidnapping,https://nigeriacrime.com/alleged-kidnapping-14-arrested-in-adamawa/
kidnapping,https://nigeriacrime.com/3-kidnap-victims-rescued-as-police-arrest-two-suspects-in-abia/
kidnapping,https://nigeriacrime.com/my-ordeal-in-kidnappers-den-23-year-old-ondo-female-victim/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/kidnapper-killed-as-police-rescue-victim-after-payment-of-ransom/
kidnapping,https://nigeriacrime.com/my-ordeal-in-the-hands-of-my-abductors-anambra-native-doctor/
kidnapping,https://nigeriacrime.com/zamfara-students-regains-freedom-six-months-after-abduction/
kidnapping,https://nigeriacrime.com/police-vow-to-rescue-four-abducted-female-students-in-zamfara/
kidnapping,https://nigeriacrime.com/former-provost-fce-abeokuta-driver-kidnapped-by-gunmen-in-ogun/
kidnapping,https://nigeriacrime.com/kidnappers-demand-n150m-to-release-rsbc-news-director/
kidnapping,https://nigeriacrime.com/13-kidnap-victims-from-captivity-in-umunne-ochi-abia-state/
kidnapping,https://nigeriacrime.com/popular-native-doctor-kidnapped-in-anambra/
kidnapping,https://nigeriacrime.com/rsbc-news-director-anthony-nwokocha-has-been-kidnapped/
kidnapping,https://nigeriacrime.com/my-abductors-boasted-they-had-security-agencies-backing-kidnapped-survivors/
kidnapping,https://nigeriacrime.com/zamfara-40-kidnapped-victims-rescued-by-military/
